days,cp,moneyness,t0,annual,ndiv,exdate_inside,reference,scalar_bp,matched_bp,schedule_bp
14,call,0.9,0.1,0.04,0,false,0.06494169720041297,33.60915728638994,0.0019036099115949845,0.0019036099115949845
14,call,0.9,0.2,0.02,0,false,0.06494169720041297,17.09369528981497,0.0019036099115949845,0.0019036099115949845
14,call,0.9,0.2,0.04,0,false,0.06494169720041297,33.60915728638994,0.0019036099115949845,0.0019036099115949845
14,call,1.0,0.02,0.02,1,true,2.059821175906914,210.58220586855995,29.090617138025564,0.2614428814078325
14,call,1.0,0.02,0.04,1,true,1.9329167347607095,327.9061335521239,104.28908611938003,0.020572413599503275
14,call,1.0,0.1,0.02,0,false,2.2632364191224075,51.03232575150628,0.013195138498119315,0.013195138498119315
14,call,1.0,0.1,0.04,0,false,2.2632364191224075,100.93508732124712,0.013195138498119315,0.013195138498119315
14,call,1.0,0.2,0.02,0,false,2.2632364191224075,51.03232575150628,0.013195138498119315,0.013195138498119315
14,call,1.0,0.2,0.04,0,false,2.2632364191224075,100.93508732124712,0.013195138498119315,0.013195138498119315
14,call,1.1,0.02,0.02,1,true,9.19770122586521,218.56280687668075,584.7996223018936,0.03810864426622516
14,call,1.1,0.02,0.04,1,true,9.18591820333024,75.8794898103231,449.151486257385,0.912749696655028
14,call,1.1,0.1,0.02,0,false,9.311457961258158,471.994730548988,0.0020095706626439033,0.0020095706626439033
14,call,1.1,0.1,0.04,0,false,9.311457961258158,905.0125418998589,0.0020095706626439033,0.0020095706626439033
14,call,1.1,0.2,0.02,0,false,9.311457961258158,471.994730548988,0.0020095706626439033,0.0020095706626439033
14,call,1.1,0.2,0.04,0,false,9.311457961258158,905.0125418998589,0.0020095706626439033,0.0020095706626439033
14,put,0.9,0.02,0.02,1,true,11.560319335308149,3733.921022148564,602.6599733005086,2.606171631010664
14,put,0.9,0.02,0.04,1,true,12.051114957245062,9374.07492102464,754.3098589072183,3.14368145857545
14,put,0.9,0.1,0.02,0,false,11.116856547123337,116.41506124932174,0.8751135151104463,0.8751135151104463
14,put,0.9,0.1,0.04,0,false,11.116856547123337,333.8036768718463,0.8751135151104463,0.8751135151104463
14,put,0.9,0.2,0.02,0,false,11.116856547123337,116.41506124932174,0.8751135151104463,0.8751135151104463
14,put,0.9,0.2,0.04,0,false,11.116856547123337,333.8036768718463,0.8751135151104463,0.8751135151104463
14,put,1.0,0.02,0.02,1,true,2.3738412051835556,286.6299066204661,20.655547870188883,0.14588618213078638
14,put,1.0,0.02,0.04,1,true,2.647147701547189,603.0198640292427,30.33641666904194,0.12630415908466072
14,put,1.0,0.1,0.02,0,false,2.119025177909284,41.18561358628011,0.1579118650076749,0.1579118650076749
14,put,1.0,0.1,0.04,0,false,2.119025177909284,83.92274077539304,0.1579118650076749,0.1579118650076749
14,put,1.0,0.2,0.02,0,false,2.119025177909284,41.18561358628011,0.1579118650076749,0.1579118650076749
14,put,1.0,0.2,0.04,0,false,2.119025177909284,83.92274077539304,0.1579118650076749,0.1579118650076749
14,put,1.1,0.02,0.02,1,true,0.10292333928554086,103.00566406309528,8.818221669820396,0.0806425889558008
14,put,1.1,0.02,0.04,1,true,0.12926176249371535,200.03713640188414,16.648019688888276,0.3024082027431352
14,put,1.1,0.1,0.02,0,false,0.08135578472060048,17.624375329929208,0.12802452413129642,0.12802452413129642
14,put,1.1,0.1,0.04,0,false,0.08135578472060048,35.743209167737106,0.12802452413129642,0.12802452413129642
14,put,1.1,0.2,0.02,0,false,0.08135578472060048,17.624375329929208,0.12802452413129642,0.12802452413129642
14,put,1.1,0.2,0.04,0,false,0.08135578472060048,35.743209167737106,0.12802452413129642,0.12802452413129642
30,call,0.9,0.02,0.02,1,true,0.35823259974624766,65.72708551873504,1.6902429728356767,0.06394874853841942
30,call,0.9,0.02,0.04,1,true,0.313382743872014,133.75977622442588,0.8715988362524747,0.12368039468170845
30,call,0.9,0.1,0.02,0,false,0.40822319619677877,32.84853270929204,0.0058565161262623825,0.0058565161262623825
30,call,0.9,0.1,0.04,0,false,0.40822319619677877,64.36009103575928,0.0058565161262623825,0.0058565161262623825
