case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.3,0.2493150684931507,15.239940571264615,15.23994056033493,1.0929685601013261e-8,9.95076924027827e-6
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.3,0.2493150684931507,15.773020284701738,15.773020269303274,1.5398464725535632e-8,1.4822762406563362e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.6,0.2493150684931507,18.830943341534642,18.830943433576195,-9.204155304587402e-8,5.587011782197433e-5
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.6,0.2493150684931507,19.102310426724863,19.10231051540643,-8.86815669787211e-8,5.439312677022805e-5
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.6,0.2493150684931507,19.51188745782637,19.511887541366754,-8.354038527613739e-8,5.207211785415886e-5
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.6,0.2493150684931507,19.924389606855094,19.924389685173978,-7.831888382270336e-8,4.9641403148616623e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.15,1.0,14.366082479820573,14.366082477123996,2.6965771837694774e-9,1.1219920684378447e-6
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.15,1.0,15.781219639626602,15.781219624287814,1.533878801751598e-8,7.364189455281066e-6
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.15,1.0,17.951774782770443,17.951774753072073,2.969836998545361e-8,1.8271679453138614e-5
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.15,1.0,20.154443388346976,20.15444335052925,3.781772761612956e-8,3.103308920717463e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.3,1.0,18.84451348171485,18.844513573998675,-9.228382680248615e-8,2.796272029964262e-5
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.3,1.0,19.940416849181048,19.94041692770537,-7.852432304389367e-8,2.484588535096549e-5
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.3,1.0,21.62105945267112,21.62105950963032,-5.695920179960012e-8,1.939223967626673e-5
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.3,1.0,23.338794416963438,23.338794452115607,-3.515216917548969e-8,1.3006874492467068e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.6,1.0,29.142594561221834,29.14259480025938,-2.3903754708953784e-7,6.906062726027135e-5
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.6,1.0,29.96888138278708,29.968881612167777,-2.293806957709421e-7,6.749592950798418e-5
